# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AATF	AATF	NM_012138.4	protein_coding	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	10	0
AATK	AATK	NM_001080395.3	protein_coding	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	8	0
AATK	AATK	NM_004920.2	protein_coding	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	8	0
ABAT	ABAT	NM_000663.4	protein_coding	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	5	0
ABAT	ABAT	NM_001127448.2	protein_coding	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	5	0
ABAT	ABAT	NM_020686.6	protein_coding	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	5	0
ABCA1	ABCA1	NM_005502.4	protein_coding	0	10	11	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	10	0
ABCA10	ABCA10	NM_080282.3	protein_coding	10	14	16	0	0	0	0	0	0	0	0	0	7	0	0	16	0	0	0	8	0	0	3	0	0	14	0
ABCA12	ABCA12	NM_015657.3	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	2	0
ABCA12	ABCA12	NM_173076.3	protein_coding	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	2	0
ABCA12	ABCA12	NR_103740.2		0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0
ABCA13	ABCA13	NM_152701.5	protein_coding	0	10	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	10	0
ABCA2	ABCA2	NM_001606.5	protein_coding	0	26	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	3
ABCA2	ABCA2	NM_212533.3	protein_coding	0	28	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	1
ABCA3	ABCA3	NM_001089.3	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
ABCA4	ABCA4	NM_000350.3	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ABCA5	ABCA5	NM_018672.4	protein_coding	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ABCA5	ABCA5	NM_172232.4	protein_coding	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ABCA6	ABCA6	NM_080284.3	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCA7	ABCA7	NM_019112.4	protein_coding	0	24	21	28	0	0	0	0	0	0	0	10	0	0	0	21	0	0	0	1	0	0	0	0	0	24	18
ABCA8	ABCA8	NM_001288985.2	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCA8	ABCA8	NM_001288986.1	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCA8	ABCA8	NM_007168.4	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCB1	ABCB1	NM_000927.4	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCB1	ABCB1	NM_001348944.1	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCB1	ABCB1	NM_001348945.1	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCB1	ABCB1	NM_001348946.2	protein_coding	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0
ABCB10	ABCB10	NM_012089.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCB11	ABCB11.2	NM_003742.4.2	protein_coding	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
ABCB4	ABCB4	NM_000443.4	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ABCB4	ABCB4	NM_018849.3	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ABCB4	ABCB4	NM_018850.2	protein_coding	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ABCB5	ABCB5	NM_001163941.2	protein_coding	0	6	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6	0
ABCB5	ABCB5	NM_001163942.2	protein_coding	4	4	4	3	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	4	1
ABCB5	ABCB5	NM_001163993.3	protein_coding	4	4	4	3	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	4	1
ABCB5	ABCB5	NM_178559.6	protein_coding	4	4	9	3	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	4	1
ABCB6	ABCB6	NM_001349828.2	protein_coding	0	2	0	22	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11
ABCB6	ABCB6	NM_005689.4	protein_coding	0	2	0	22	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11
ABCB8	ABCB8	NM_001282291.2	protein_coding	0	0	10	11	0	0	0	0	0	0	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3
ABCB8	ABCB8	NM_001282292.2	protein_coding	0	0	10	11	0	0	0	0	0	0	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3
ABCB8	ABCB8	NM_001282293.1	protein_coding	0	0	4	17	0	0	0	0	0	0	0	8	0	0	6	4	0	0	0	0	0	0	0	0	0	0	3
ABCB8	ABCB8	NM_007188.5	protein_coding	0	0	10	11	0	0	0	0	0	0	0	8	0	0	0	10	0	0	0	0	0	0	0	0	0	0	3
ABCB9	ABCB9	NM_001243013.2	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_001243014.2	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_019624.3	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_019625.4	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ABCB9	ABCB9	NM_203444.4	protein_coding	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ABCC1	ABCC1.2	NM_004996.4.2	protein_coding	0	15	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	15	0
ABCC11	ABCC11	NM_001370496.1	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_001370497.1	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_032583.4	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_033151.4	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCC11	ABCC11	NM_145186.3	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCC12	ABCC12	NM_033226.2	protein_coding	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ABCC2	ABCC2	NM_000392.5	protein_coding	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0
ABCC3	ABCC3	NM_001144070.2	protein_coding	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0
ABCC3	ABCC3	NM_003786.4	protein_coding	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0
ABCC4	ABCC4	NM_001105515.3	protein_coding	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	18	0
ABCC4	ABCC4	NM_001301829.2	protein_coding	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	24	0
ABCC4	ABCC4	NM_001301830.2	protein_coding	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	18	0
ABCC4	ABCC4	NM_005845.4	protein_coding	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	24	0
ABCC5	ABCC5	NM_001320032.2	protein_coding	0	4	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ABCC5	ABCC5	NM_005688.4	protein_coding	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ABCC6	ABCC6	NM_001171.5.2	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
ABCC6	ABCC6	NM_001351800.1	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
ABCC6	ABCC6	NR_147784.1.2		0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
ABCC8	ABCC8	NM_000352.5	protein_coding	0	50	49	6	0	0	0	0	0	0	0	6	0	0	0	49	0	0	0	0	0	0	0	0	0	50	0
ABCC8	ABCC8	NM_001287174.2	protein_coding	0	50	49	6	0	0	0	0	0	0	0	6	0	0	0	49	0	0	0	0	0	0	0	0	0	50	0
ABCC8	ABCC8	NM_001351295.2	protein_coding	0	50	49	6	0	0	0	0	0	0	0	6	0	0	0	49	0	0	0	0	0	0	0	0	0	50	0
ABCC8	ABCC8	NM_001351296.2	protein_coding	0	50	49	6	0	0	0	0	0	0	0	6	0	0	0	49	0	0	0	0	0	0	0	0	0	50	0
ABCC8	ABCC8	NM_001351297.2	protein_coding	0	50	49	6	0	0	0	0	0	0	0	6	0	0	0	49	0	0	0	0	0	0	0	0	0	50	0
ABCC8	ABCC8	NR_147094.2		0	0	0	105	0	0	0	0	0	0	0	6	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_005691.3	protein_coding	0	0	14	1	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_020297.3	protein_coding	0	0	14	1	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0
ABCD3	ABCD3	NM_001122674.1	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ABCD3	ABCD3	NM_002858.4	protein_coding	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
ABCD4	ABCD4	NM_001353591.2	protein_coding	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0
ABCD4	ABCD4	NM_001353592.2	protein_coding	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0
ABCD4	ABCD4	NM_001353593.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353594.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353595.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353596.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353597.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353598.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353599.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353600.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353601.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353602.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353603.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353604.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353605.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353606.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353607.2	protein_coding	0	2	4	7	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353608.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353609.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_001353610.2	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_005050.4	protein_coding	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0
ABCD4	ABCD4	NM_020324.3	protein_coding	0	9	4	7	0	7	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0
ABCD4	ABCD4	NM_020325.3	protein_coding	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0
ABCD4	ABCD4	NR_003256.3		0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148466.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148467.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148468.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148469.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148470.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148471.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148472.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148473.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_148474.2		0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
ABCF2	ABCF2	NM_007189.3	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ABCF3	ABCF3	NM_001351298.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCF3	ABCF3	NM_001351299.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCF3	ABCF3	NM_001351300.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCF3	ABCF3	NM_018358.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCG1	ABCG1	NM_004915.3	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_016818.2	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207174.1	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207627.1	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207628.1	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCG1	ABCG1	NM_207629.1	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ABCG5	ABCG5	NM_022436.3	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
